Date,Close/Last
04/05/2021,13705.59
04/01/2021,13480.11
03/31/2021,13246.87
03/30/2021,13045.39
03/29/2021,13059.65
03/26/2021,13138.72
03/25/2021,12977.68
03/24/2021,12961.89
03/23/2021,13227.7
03/22/2021,13377.54
03/19/2021,13215.24
03/18/2021,13116.17
03/17/2021,13525.2
03/16/2021,13471.57
03/15/2021,13459.71
03/12/2021,13319.86
03/11/2021,13398.67
03/10/2021,13068.83
03/09/2021,13073.82
03/08/2021,12609.16
03/05/2021,12920.15
03/04/2021,12723.47
03/03/2021,12997.75
03/02/2021,13358.79
03/01/2021,13588.83
02/26/2021,13192.35
02/25/2021,13119.43
02/24/2021,13597.97
02/23/2021,13465.2
02/22/2021,13533.05
02/19/2021,13874.46
02/18/2021,13865.36
02/17/2021,13965.49
02/16/2021,14047.5
02/12/2021,14095.47
02/11/2021,14025.77
02/10/2021,13972.53
02/09/2021,14007.7
02/08/2021,13987.64
02/05/2021,13856.3
02/04/2021,13777.74
02/03/2021,13610.54
02/02/2021,13612.78
02/01/2021,13403.39
01/29/2021,13070.69
01/28/2021,13337.16
01/27/2021,13270.6
